file_name	title	author	datetime
ump-leaves-the-white-house-today-more-unpopular-than-ever.html	Trump Leaves The White House Today, More Unpopular Than Ever	Galen Druke	Jan. 20, 2021
the-final-two-months-of-trumps-presidency-were-the-most-important-ones.html	The Final Two Months of Trump’s Presidency Were The Most Important Ones	Perry Bacon Jr.	Jan. 20, 2021
the-spurs-young-trio-has-them-back-in-the-mix.html	The Spurs’ Young Trio Has Them Back In The Mix	Jared Dubin	Jan. 20, 2021
trump-is-leaving-office-with-a-bunch-of-legal-problems-and-were-not-just-talking-about-impeachment.html	Trump Is Leaving Office With a Bunch of Legal Problems — And We’re Not Just Talking About Impeachment	Amelia Thomson-DeVeaux	Jan. 20, 2021
e-pandemic-and-the-attack-on-the-capitol-will-likely-define-trumps-presidency.html	The Pandemic And The Attack On The Capitol Will Likely Define Trump’s Presidency	Galen Druke	Jan. 19, 2021
even-though-biden-won-republicans-enjoyed-the-largest-electoral-college-edge-in-70-years-will-that-last.html	Even Though Biden Won, Republicans Enjoyed The Largest Electoral College Edge In 70 Years. Will That Last?	Geoffrey Skelley	Jan. 19, 2021
the-stars-who-could-be-on-the-move-during-wnba-free-agency.html	The Stars Who Could Be On The Move During WNBA Free Agency	Howard Megdal	Jan. 19, 2021
the-clippers-stars-are-carrying-them-will-their-bench-bring-them-down.html	The Clippers’ Stars Are Carrying Them. Will Their Bench Bring Them Down?	Neil Paine	Jan. 19, 2021
does-biden-really-think-republicans-will-work-with-him-and-could-he-be-right.html	Does Biden Really Think Republicans Will Work With Him? And Could He Be Right?	Perry Bacon Jr.	Jan. 19, 2021
how-the-chiefs-survived-the-packers-thrived-and-the-bills-and-bucs-stayed-alive.html	How The Chiefs Survived, The Packers Thrived And The Bills And Bucs Stayed Alive		Jan. 18, 2021
james-hardens-rockets-changed-the-nba-forever.html	James Harden’s Rockets Changed The NBA Forever	Neil Paine	Jan. 15, 2021
the-premier-league-race-is-tight-which-teams-really-have-a-chance.html	The Premier League Race Is Tight. Which Teams Really Have A Chance?		Jan. 15, 2021
how-has-the-radical-right-evolved-under-trump.html	How Has The Radical Right Evolved Under Trump?		Jan. 15, 2021
can-you-hunt-for-the-mysterious-numbers.html	Can You Hunt For The Mysterious Numbers?	Zach Wissner-Gross	Jan. 15, 2021
since-the-capitol-attack-trumps-approval-rating-has-plummeted-at-a-record-rate.html	Since The Capitol Attack, Trump’s Approval Rating Has Plummeted At A Record Rate	Geoffrey Skelley	Jan. 15, 2021
