file_name	article_title	article_author
did-the-bruins-win-the-trade-deadline-and-will-the-canucks-ever-play-again.html	Did The Bruins Win The Trade Deadline? And Will The Canucks Ever Play Again?	
can-you-crack-the-case-of-the-crescent-moon.html	Can You Crack The Case Of The Crescent Moon?	Zach Wissner-Gross
its-not-just-young-white-liberals-who-are-leaving-religion.html	It’s Not Just Young White Liberals Who Are Leaving Religion	Ryan P. Burge
zion-williamson-is-used-to-rejection.html	Zion Williamson Is Used To Rejection	Yaron Weitzman
y-serious-changes-to-policing-are-so-unlikely-to-happen.html	Why Serious Changes To Policing Are So Unlikely To Happen	Galen Druke
in-formula-one-does-the-driver-or-car-matter-more.html	In Formula One, Does The Driver Or Car Matter More?	Justin Moore
few-americans-who-identify-as-independent-are-actually-independent-thats-really-bad-for-politics.html	Few Americans Who Identify As Independent Are Actually Independent. That’s Really Bad For Politics.	Geoffrey Skelley
can-leicester-city-hold-on-to-a-top-four-spot.html	Can Leicester City Hold On To A Top-Four Spot?	Terrence Doyle
the-mavericks-bet-big-on-kristaps-porzingis-its-paying-off-on-offense-but-what-about-defense.html	The Mavericks Bet Big On Kristaps Porziņģis. It’s Paying Off On Offense, But What About Defense?	Jared Dubin
what-each-wnba-team-needs-from-this-years-draft.html	What Each WNBA Team Needs From This Year’s Draft	Howard Megdal
are-ambitious-parts-of-democrats-agenda-good-for-democracy-or-just-the-democratic-party.html	Are Ambitious Parts Of Democrats’ Agenda Good For Democracy … Or Just The Democratic Party?	
the-johnson-johnson-pause-shows-the-system-is-working.html	The Johnson & Johnson Pause Shows The System Is Working	Anna Rothschild
how-views-on-black-lives-matter-have-changed-and-why-that-makes-police-reform-so-hard.html	How Views On Black Lives Matter Have Changed — And Why That Makes Police Reform So Hard	Alex Samuels
this-is-the-byron-buxton-we-were-promised.html	This Is The Byron Buxton We Were Promised	Neil Paine
nfidence-interval-will-andrew-yang-be-the-next-mayor-of-new-york-city.html	Confidence Interval: Will Andrew Yang Be The Next Mayor Of New York City?	Galen Druke
its-not-just-georgia-more-than-a-dozen-other-states-are-trying-to-take-power-away-from-local-election-officials.html	It’s Not Just Georgia: More Than A Dozen Other States Are Trying To Take Power Away From Local Election Officials	Nathaniel Rakich
y-support-for-gun-control-hasnt-led-to-new-legislation.html	Why Support For Gun Control Hasn’t Led To New Legislation	Galen Druke
the-records-that-may-or-may-not-fall-in-a-17-game-nfl-season.html	The Records That May (Or May Not) Fall In A 17-Game NFL Season	Ty Schalter
could-more-nba-teams-succeed-with-three-point-guards-playing-together.html	Could More NBA Teams Succeed With Three Point Guards Playing Together?	Louis Zatzman
democratic-values-are-still-under-attack-even-without-trump-in-the-white-house.html	Democratic Values Are Still Under Attack — Even Without Trump In The White House	Julia Azari
tino-voters-arent-a-monolith-but-the-gop-made-gains-with-them-just-about-everywhere-in-2020.html	Latino Voters Aren’t A Monolith, But The GOP Made Gains With Them Just About Everywhere In 2020	Galen Druke
did-psg-really-just-beat-bayern-munich.html	Did PSG Really Just Beat Bayern Munich?	
can-you-navigate-the-one-way-streets.html	Can You Navigate The One-Way Streets?	Zach Wissner-Gross
the-yankees-and-rays-own-the-al-easts-best-rivalry-now.html	The Yankees And Rays Own The AL East’s Best Rivalry Now	Neil Paine
why-americans-cant-resist-a-celebrity-political-candidate.html	Why Americans Can’t Resist A Celebrity Political Candidate	Alex Samuels
is-soccer-wrong-about-long-shots.html	Is Soccer Wrong About Long Shots?	John Muller
many-democrats-are-sick-of-iowa-and-new-hampshire-going-first-but-the-primary-calendar-is-unlikely-to-change.html	Many Democrats Are Sick Of Iowa And New Hampshire Going First, But The Primary Calendar Is Unlikely To Change	Geoffrey Skelley
can-new-coaches-and-a-new-vision-fix-michigans-defense.html	Can New Coaches — And A New Vision — Fix Michigan’s Defense?	Richard Johnson
can-jordan-spieth-continue-his-comeback-at-the-masters.html	Can Jordan Spieth Continue His Comeback At The Masters?	Geoff Foster
why-we-are-and-should-be-talking-about-voting-rights-right-now.html	Why We Are (And Should Be) Talking About Voting Rights Right Now	
can-a-local-reparations-program-undo-decades-of-housing-discrimination.html	Can A Local Reparations Program Undo Decades Of Housing Discrimination?	Alex Samuels
jrue-holiday-has-delivered-for-the-bucks-and-they-delivered-for-him.html	Jrue Holiday Has Delivered For The Bucks, And They Delivered For Him	Jared Dubin
q-isnt-the-most-interesting-thing-about-qanon.html	HBO’s QAnon Doc Falls Into Traps Around The Rabbit Hole	Kaleigh Rogers
baylors-slow-motion-knockdown.html	Baylor’s Slow-Motion Knockdown	Josh Planos
why-the-republican-party-isnt-rebranding-after-2020.html	Why The Republican Party Isn’t Rebranding After 2020	Perry Bacon Jr.
