created_at	text
Wed Jan 27 22:12:33 +0000 2021	It once held a lake. And what we're going to do, as soon as we get there, is to explore the rocks that were deposi… https://t.co/UW9wngvx4C
Wed Jan 27 22:00:09 +0000 2021	I asked the team [...] to come up with something that would symbolize, to mark this challenge and thank in particu… https://t.co/QH235r9zjq
Wed Jan 27 21:46:25 +0000 2021	Perseverance is the very first rover designed to seek signs of past microbial life, by collecting and caching rock… https://t.co/nn72OHRVv6
Wed Jan 27 21:30:27 +0000 2021	🔴 LIVE: Tune in for a preview of the next Mars landing! On Feb. 18, our @NASAPersevere rover will arrive at the Red… https://t.co/rHRhIrzXWR
Wed Jan 27 21:22:15 +0000 2021	RT @NASAMars: Don't forget to join us for today's briefing at 4:30pm ET (21:30 UTC): https://t.co/fGItMYWnFR Tag your questions #Countdown…
Wed Jan 27 20:04:59 +0000 2021	Just 22 more days until we #CountdownToMars. Our @NASAPersevere rover is nearing the end of its 292.5-million-mile… https://t.co/DtT1K7l9GF
Wed Jan 27 19:32:23 +0000 2021	RT @NASAExoplanets: 📣Discovery alert!📣In a first, astronomers find a system of six stars made of three eclipsing binaries. Stars orbit the…
Wed Jan 27 19:15:05 +0000 2021	RT @Space_Station: .@Astro_Illini and @AstroVicGlover completed today's spacewalk at 1:24pm ET after installing a new science antenna then…
Wed Jan 27 18:36:21 +0000 2021	That's a wrap! @Astro_illini and @AstroVicGlover concluded today's spacewalk at 1:24pm ET, following a 6-hour and 5… https://t.co/JE1eRgQtFx
Wed Jan 27 18:01:20 +0000 2021	Success! With a bit of strength and skill, @Astro_illini removed the H-fixture from the @Space_Station, opening the… https://t.co/qw0zfcfn9X
Wed Jan 27 17:45:42 +0000 2021	@sccjono Hi there! Astronauts are trained to always release an object retrograde (backward) and sometimes slightly… https://t.co/giSUP5gNna
Wed Jan 27 17:30:07 +0000 2021	Six hours into the 233rd spacewalk at the @Space_Station, @AstroVicGlover and @Astro_illini are conducting their fi… https://t.co/OdtVy3ldV5
Wed Jan 27 16:46:56 +0000 2021	@misscincy14 @MasonSchools Thank you for watching with us! Hi, 5th graders of Mason! See you in space.😎🚀 https://t.co/lsQDYcf42p
Wed Jan 27 16:30:23 +0000 2021	@johnedugan @SAVAKband https://t.co/TGORjSyFMi
Wed Jan 27 16:13:55 +0000 2021	Countdown 3, 2, 1... @AstroVicGlover jettisons, or releases, an antenna cover as it no longer sparks joy and is n… https://t.co/2eO9gdZh2A
Wed Jan 27 15:23:35 +0000 2021	Check out this detailed rundown for more on the issues our spacewalking duo are tackling with mission control and a… https://t.co/yqu4X5VvYL
Wed Jan 27 15:12:23 +0000 2021	Just tuning in to today’s spacewalk? @AstroVicGlover and @Astro_illini are working with teams in mission control to… https://t.co/VZenMqxcb8
Wed Jan 27 14:59:16 +0000 2021	@SanGrownUn1 @AstroVicGlover @Astro_illini @esa Thank you for watching with us, Stephen! 💫 https://t.co/UQeZHB9j1K
Wed Jan 27 14:58:34 +0000 2021	@star95011 Good morning, Cassandra! Have a stellar day! 🌟 https://t.co/a0T8XlAvb9
Wed Jan 27 14:28:32 +0000 2021	RT @ISS_Research: Today’s spacewalk helps expand science capabilities on the @Space_Station through work on @ESA's Bartolomeo facility. Pot…
Wed Jan 27 14:07:34 +0000 2021	ICYMI: @AstroVicGlover hitched a pretty sweet ride to his workstation earlier. Now, he's working with @Astro_illini… https://t.co/Tyw6FRdj9O
Wed Jan 27 13:38:24 +0000 2021	Hearing “Ike” a lot during today’s spacewalk? That’s @AstroVicGlover’s nickname! Here’s how you can keep track of w… https://t.co/DqDO8tuTjU
Wed Jan 27 13:31:15 +0000 2021	@Kirstyxxcxx @Space_Station @AstroVicGlover @Astro_illini @esa Hey, Blake! 👋Astronaut training can take around two… https://t.co/hAB1bOE7x3
Wed Jan 27 13:23:47 +0000 2021	RT @Space_Station: The spacewalkers just installed a new antenna on @ESA's Columbus lab module that will send and receive high-bandwidth sc…
Wed Jan 27 13:10:20 +0000 2021	@anneliesvandam @Space_Station @AstroVicGlover @Astro_illini @esa Good luck to them! https://t.co/Gvt1HqfItF
Wed Jan 27 13:07:20 +0000 2021	@Justice30 @Space_Station @AstroVicGlover @Astro_illini @esa Thank you for tuning in! 🤩
Wed Jan 27 13:06:15 +0000 2021	@ISSstats Today's spacewalk is targeted to be around 6.5 hours but the duo are ahead of schedule! This will be Mike's third spacewalk.
Wed Jan 27 13:01:11 +0000 2021	New to spacewalks? Here’s some useful lingo:▪️APFR = Articulating Portable Foot Restraint (foot hold)▪️EMU = Ext… https://t.co/9fIf9f7PKO
Wed Jan 27 12:17:09 +0000 2021	Now a little over 45-minutes into today's spacewalk, @AstroVicGlover  is secured in @csa_asc's #Canadarm2 and is ma… https://t.co/SfoAE5n42G
Wed Jan 27 12:04:28 +0000 2021	During his first spacewalk outside the @Space_Station, @AstroVicGlover will get a ride to his workstation from fell… https://t.co/9V9PqoT6Lu
Wed Jan 27 11:32:50 +0000 2021	✅ We’ve got the green light ‘GO’ as our @NASA_Astronauts set their spacesuits to battery power at 6:28am ET  – offi… https://t.co/i9QJemVfpX
Wed Jan 27 11:01:33 +0000 2021	RT @Space_Station: .@Astro_Soichi closed the Quest crew lock's hatch with @Astro_Illini and @AstroVicGlover inside. After depressurization…
Wed Jan 27 10:30:50 +0000 2021	LIVE NOW: Spacewalk with astronauts outside the @Space_Station! Tune in as @AstroVicGlover &amp; @Astro_illini perform… https://t.co/jen7NICEtb
Wed Jan 27 10:15:49 +0000 2021	Rise and shine. ☕️☀️ It's spacewalk time. Tune in live at 5:30am ET as @AstroVicGlover and @Astro_illini prepare to… https://t.co/Ot2sXkoRQ6
Wed Jan 27 01:55:19 +0000 2021	Suit up and step out for some Earth views: it's spacewalk time.Watch NASA TV tomorrow starting at 5:30am ET for… https://t.co/oJsV9bnWbp
Tue Jan 26 23:25:01 +0000 2021	🔴 The #CountdownToMars continues!Our @NASAPersevere Mars rover will land on the Red Planet, but HOW? Mission engi… https://t.co/zWbI0NdwyP
Tue Jan 26 22:10:32 +0000 2021	🚀 In case you missed it: During #Inauguration2021 activities last week, @NASA_Astronauts aboard the @Space_Station… https://t.co/56ozjH3zAx
Tue Jan 26 21:48:29 +0000 2021	RT @NASAPersevere: Mars awaits. Are you ready?As I approach the Red Planet, members of my team will discuss details about my upcoming lan…
Tue Jan 26 20:04:46 +0000 2021	RT @NASAMoon: A Moon crater just got a new name: Tooley crater. This 7 km wide depression near the Moon's South Pole is named after the lat…
Tue Jan 26 19:28:00 +0000 2021	With bits of space rock aboard, @OSIRISREx will begin its journey back to Earth on May 10. The mission… https://t.co/UPr4Lbegux
Tue Jan 26 17:46:10 +0000 2021	@startrekcbs @NASAGoddard 🖖 Thanks for watching!
Tue Jan 26 17:30:39 +0000 2021	📖 LIVE: Tune in for Story Time from Space! From the @Space_Station, Shannon Walker of @NASA_Astronauts reads the… https://t.co/lf0YXSGv87
Tue Jan 26 17:19:09 +0000 2021	RT @NASA_Johnson: 📚 Story time! 📚NASA astronaut Shannon Walker will read a children's book called Willow the Water Bear LIVE from the @…
Tue Jan 26 16:24:12 +0000 2021	📸 Just in: new views of our solar system! Our @NASASun missions Parker Solar Probe, and STEREO spacecraft, as well… https://t.co/MlQJjl5aq1
Tue Jan 26 15:57:21 +0000 2021	@aliawhs Hi there! The @Space_Station zooms around Earth at about 17,500 mph (about 28,000 kph), but our… https://t.co/qNHm3LwuIS
Tue Jan 26 15:33:52 +0000 2021	@welshrob87 Spectacular shot. Thanks for sharing! 🌟
Mon Jan 25 23:26:17 +0000 2021	RT @Space_Station: The @SpaceX #CrewDragon spacecraft, with its two lit crew windows, is pictured docked to the Harmony module's internatio…
Mon Jan 25 23:14:47 +0000 2021	RT @Dr_ThomasZ: Our program that connects #NASAScience with learners of all ages has just selected 9 new awardees to help us broaden partic…
Mon Jan 25 21:05:06 +0000 2021	Scientists with the Oceans Melting Greenland mission have discovered that glaciers in Greenland’s deep fjords accou… https://t.co/HoylowpKcf
Mon Jan 25 15:33:01 +0000 2021	@vlvucina Yes, Vicky! Science for all! ⭐️ https://t.co/x6IpeRjcjD
Mon Jan 25 15:24:00 +0000 2021	With @BoeingSpace, we are now targeting launch of the #Starliner spacecraft's second uncrewed flight test for March… https://t.co/SA7yj5VgQi
Sun Jan 24 22:25:07 +0000 2021	How dark is space? @NASANewHorizons has the answers. Learn about the latest findings: https://t.co/L7fAWvtDCy https://t.co/7UkCnEYp3B
Sun Jan 24 19:55:01 +0000 2021	“It’s heart stopping.”“It’s soul pounding.” “It’s breathtaking.” 😍 Take in a new perspective of Earth as seen t… https://t.co/5YFkFUtTx9
Sun Jan 24 19:52:29 +0000 2021	RT @Space_Station: .@Astro_Illini and @AstroVicGlover are getting ready for a pair of 6.5-hour spacewalks on Jan. 27 and Feb. 1 to upgrade…
Sat Jan 23 21:59:16 +0000 2021	RT @Space_Station: The station's orbit takes it as high 51.6° above the equator offering awe-inspiring views of the Earth's aurora in betwe…
Sat Jan 23 21:26:11 +0000 2021	RT @NASA_Johnson: The @Nanoracks Bishop Airlock made its way to the @Space_Station recently. It’s a commercial module with a variety of int…
Sat Jan 23 20:45:01 +0000 2021	A galaxy far, far away...50 million light years from Earth, in the constellation of Virgo, the lost galaxy NGC… https://t.co/skf4JBVol0
Sat Jan 23 17:32:00 +0000 2021	Today, we commemorate the 80th anniversary of @NASAGlenn, established by the National Advisory Committee for Aerona… https://t.co/iyUilCeWID
Sat Jan 23 01:57:25 +0000 2021	This week...🔥 An update on the @NASA_SLS rocket core hot fire test⛽ Our @NASA_Orion spacecraft is ready to fuel… https://t.co/d0xJ1xpB9L
Fri Jan 22 23:08:00 +0000 2021	A new study shows that the seven TRAPPIST-1 planets — the largest group of Earth-size planets ever found in a singl… https://t.co/FlnGkTcnqh
Fri Jan 22 20:00:42 +0000 2021	LIVE: Experts at @NASA_Johnson preview two spacewalks set for Jan. 27 &amp; Feb. 1. @Astro_illini &amp; @AstroVicGlover wil… https://t.co/n3LO5bBHm8
Fri Jan 22 19:19:29 +0000 2021	RT @Space_Station: We are answering your #AskNASA questions live on @NASA TV during a briefing starting at 3pm ET today to discuss two upco…
Fri Jan 22 18:24:04 +0000 2021	RT @NASA_Technology: Two CubeSat missions – one to develop the next generation of communication &amp; navigation tech and one to demonstrate a…
Fri Jan 22 17:57:08 +0000 2021	Spacewalk prep underway 💇‍♂️ 👨‍🚀 ✅ The crew aboard the @Space_Station is getting set for a stretch of spacewalks… https://t.co/5J5shoedjw
